DRAKE — MASTER LEAD / JOINT-PRIMARY CATALOG
Released material through September 2026
Purpose: source-of-truth candidate list for Which Drake?
Features where another artist is primary will be supplied separately.

ROOM FOR IMPROVEMENT (2006)
"Intro" | Credit: Drake | Role: Lead | Original
"Goose and The Juice" | Credit: Drake | Role: Lead | Original
"Princess" | Credit: Drake | Role: Lead | Original

HABIBTI (2026)
"Rusty Intro" | Credit: Drake | Role: Lead | Original
"WNBA" | Credit: Drake | Role: Lead | Original
"Slap The City" | Credit: Drake | Role: Lead | Original
"High Fives" | Credit: Drake | Role: Lead | Original
"Hurrr Nor Thurrr" | Credit: Drake & Sexyy Red | Role: Lead / Collaboration | Original
"I'm Spent" | Credit: Drake & Loe Shimmy | Role: Lead / Collaboration | Original
"Classic" | Credit: Drake | Role: Lead | Original
"Gen 5" | Credit: Drake | Role: Lead | Original
"White Bone" | Credit: Drake | Role: Lead | Original
"Fortworth" | Credit: Drake & PARTYNEXTDOOR | Role: Lead / Collaboration | Original
"Prioritizing" | Credit: Drake | Role: Lead | Original

OTHER STANDALONE LEAD / JOINT-PRIMARY RELEASES
"Forever" | Credit: Drake, Kanye West, Lil Wayne & Eminem | Role: Joint-Primary | Original
"0 to 100 / The Catch Up" | Credit: Drake | Role: Lead | Original
"Charged Up" | Credit: Drake | Role: Lead | Original
"Back to Back" | Credit: Drake | Role: Lead | Original
"Summer Sixteen" | Credit: Drake | Role: Lead | Original
"Signs" | Credit: Drake | Role: Lead | Original
"Diplomatic Immunity" | Credit: Drake | Role: Lead | Original
"Duppy Freestyle" | Credit: Drake | Role: Lead | Original
"Omertà" | Credit: Drake | Role: Lead | Original
"Money in the Grave" (feat. Rick Ross) | Credit: Drake feat. Rick Ross | Role: Lead | Original
"Laugh Now Cry Later" (feat. Lil Durk) | Credit: Drake feat. Lil Durk | Role: Lead | Original
"What's Next" | Credit: Drake | Role: Lead | Original
"Wants and Needs" (feat. Lil Baby) | Credit: Drake feat. Lil Baby | Role: Lead | Original
"Lemon Pepper Freestyle" (feat. Rick Ross) | Credit: Drake feat. Rick Ross | Role: Lead | Original
"Search & Rescue" | Credit: Drake | Role: Lead | Original
